"Name";"ID";"Location";"Size(MB)";"Status"
"Orphaned Cache Item";"feccf2ff-e82b-44e7-ab77-b8a096c39ad1";"C:\windows\ccmcache\3d";"28.82";"Deleted!"
"Security Update for Microsoft Office 2016 (KB4011686) 64-Bit Edition";"f4739def-0bc5-4c9d-9d25-6d5bf56c0495";"C:\windows\ccmcache\38";"248.10";"Deleted!"
"Orphaned Cache Item";"Content_1762d410-3c3b-439c-b76c-ca7144aed6bf";"C:\windows\ccmcache\32";"23.60";"Deleted!"
"Orphaned Cache Item";"d7abdf50-9e5e-4842-b630-e0ffb30edfd3";"C:\windows\ccmcache\35";"23.30";"Deleted!"
"2018-02 Security Update for Adobe Flash Player for Windows 10 Version 1607 for x64-based Systems (KB4074595)";"34b9e6b7-3fd1-467f-adda-ee660562a3c8";"C:\windows\ccmcache\31";"20.67";"Deleted!"
"Definition Update for Windows Defender Antivirus - KB2267602 (Definition 1.263.0.0)";"07933dac-c711-4f09-bc3b-445c5bffac6b";"C:\windows\ccmcache\3m";"2.59";"Deleted!"
"Security Update for Microsoft Office 2016 (KB4011143) 64-Bit Edition";"769fe0ad-1555-462e-818d-29aea64751a4";"C:\windows\ccmcache\3b";"2.51";"Deleted!"
"Orphaned Cache Item";"6fdf3468-99f4-415c-af89-5058d1b874a0";"C:\windows\ccmcache\2x";"17.42";"Deleted!"
"Orphaned Cache Item";"1a050e56-0e0a-4895-a2d7-3d75d36d1492";"C:\windows\ccmcache\2w";"14.21";"Deleted!"
"Orphaned Cache Item";"97a96657-fa72-4d90-a80f-fbc39323a70f";"C:\windows\ccmcache\2v";"13.38";"Deleted!"
"Orphaned Cache Item";"c4be468b-3b83-425e-ba71-bfc6299b937f";"C:\windows\ccmcache\30";"1.76";"Deleted!"
"Orphaned Cache Item";"2e3b068d-8c3d-458d-a12a-66cac47e22db";"C:\windows\ccmcache\3c";"1.59";"Deleted!"
"Orphaned Cache Item";"cc7d5fd2-f073-45d1-b515-806e81bccaad";"C:\windows\ccmcache\3o";"1.52";"Deleted!"
"Orphaned Cache Item";"43494b2d-7b82-4871-8ba0-92fabff29a82";"C:\windows\ccmcache\2y";"1.52";"Deleted!"
"Orphaned Cache Item";"e88c13c8-35e3-4966-ba98-8f6a83f771fa";"C:\windows\ccmcache\3f";"1.07";"Deleted!"
"Orphaned Cache Item";"8dd02ce8-cb96-4199-962f-e2aa5971c10b";"C:\windows\ccmcache\2z";"1,200.82";"Deleted!"
"2018-02 Cumulative Update for Windows 10 Version 1607 for x64-based Systems (KB4074590)";"c68a2650-1f3c-4c83-aeea-5cb25026ce8e";"C:\windows\ccmcache\3a";"1,145.13";"Deleted!"
"Local Administrator Password Solution v6.2 .x64";"Content_fec700f3-38d7-493e-ac7e-200ae9fd15dc";"C:\windows\ccmcache\36";"0.97";"Deleted!"
"Orphaned Cache Item";"0aa0a250-8b87-4369-96a0-00c3980c821d";"C:\windows\ccmcache\2u";"0.49";"Deleted!"
"Definition Update for Windows Defender Antivirus - KB2267602 (Definition 1.263.328.0)";"6a26ed7b-70d2-429b-a92e-c889cdd254ae";"C:\windows\ccmcache\3t";"0.27";"Deleted!"
"Orphaned Cache Item";"038e3db2-9978-4149-90a8-8e9d30e87d1b";"C:\windows\ccmcache\33";"0.25";"Deleted!"
"Total Size of Items Deleted in MB: 3,127.65";"N/A";"N/A";"N/A";" ***** Last Run Date: 03/13/2018 10:50:00 *****"
